一个富贵心两只体面眼	一個富貴心兩隻體面眼
环保与环境监控系统	環保與環境監控系統
生于优患死于安乐	生於優患死於安樂
生于忧患死于安乐	生於憂患死於安樂
生命不息战斗不止	生命不息戰鬥不止
生物技术与制药工业发展推动小组	生物技術與製藥工業發展推動小組
电机及电子学工程师联合会	電機及電子學工程師聯合會
电脑与电话系统整合	電腦與電話系統整合
男大当婚女大当嫁	男大當婚女大當嫁
病从口入祸从口出	病從口入禍從口出
白刀子进去红刀子出来	白刀子進去紅刀子出來
百万买宅千万买邻	百萬買宅千萬買鄰
百尺竿头更尽一步	百尺竿頭更盡一步
百足之虫死而不僵	百足之蟲死而不僵
百足之虫至死不僵	百足之蟲至死不僵
皇家加勒比海游轮公司	皇家加勒比海遊輪公司
盐打怎么咸醋打怎么酸	鹽打怎麼鹹醋打怎麼酸
相交满天下知心能几人	相交滿天下知心能幾人
瞒天讨价就地还钱	瞞天討價就地還錢
知无不言言无不尽	知無不言言無不盡
石油输出国家组织	石油輸出國家組織
礼轻人意重千里送鹅毛	禮輕人意重千里送鵝毛
福无重受日祸有并来时	福無重受日禍有並來時
秀才不出门能知天下事	秀才不出門能知天下事
秀才作医如菜作虀	秀才作醫如菜作虀
种上蒺藜就要扎脚	種上蒺藜就要扎腳
种火又长拄门又短	種火又長拄門又短
种瓜得瓜种豆得豆	種瓜得瓜種豆得豆
科学技术是第一生产力	科學技術是第一生產力
穷当益坚老当益壮	窮當益堅老當益壯
空军航空技术学院	空軍航空技術學院
穿鞋的不斗赤脚的	穿鞋的不鬥赤腳的
笔胜于刀文比武强	筆勝於刀文比武強
箭在弦上不得不发	箭在弦上不得不發
米罗的维纳斯雕像	米羅的維納斯雕像
紫云苗族布依族自治县	紫云苗族布依族自治縣
累积性伤害症候羣	累積性傷害症候羣
约翰˙克利斯多夫	約翰˙克利斯多夫
纽芬兰与拉布拉多	紐芬蘭與拉布拉多
线上即时交谈系统	綫上即時交談系統
线上电脑网路杂志	綫上電腦網路雜誌
经济协力开发机构	經濟協力開發機構
经济合作与发展组织	經濟合作與發展組織
经济合作开发组织	經濟合作開發組織
经济部标准检验局	經濟部標準檢驗局
经营决策资讯系统	經營決策資訊系統
综合服务数位网络	綜合服務數位網絡
网路连线型光碟柜	網路連綫型光碟櫃
罗培兹阿里格利亚	羅培茲阿里格利亞
罢黜百家独尊儒术	罷黜百家獨尊儒術
羊羣里跑出骆驼来	羊羣裏跑出駱駝來
美国国际开发总署	美國國際開發總署
美国资讯交换标准码	美國資訊交換標準碼
翻手为云覆手变雨	翻手爲雲覆手變雨
老猫鼻子上挂咸鱼	老貓鼻子上掛鹹魚
老王卖瓜自卖自夸	老王賣瓜自賣自誇
老米饭捏杀不成团	老米飯捏殺不成團
老虎生了翅膀一般	老虎生了翅膀一般
老骥伏枥志在千里	老驥伏櫪志在千里
老鼠拖木锨大头在后头	老鼠拖木杴大頭在後頭
老龟煮不烂移祸于枯桑	老龜煮不爛移禍於枯桑
耕当问奴织当访婢	耕當問奴織當訪婢
耳檐儿当不的胡帽	耳檐兒當不的胡帽
耶稣基督后期圣徒教会	耶穌基督後期聖徒敎會
联合包裹服务公司	聯合包裹服務公司
联合国儿童基金会	聯合國兒童基金會
联合国安全理事会	聯合國安全理事會
联合国开发计划署	聯合國開發計劃署
联合国敎科文组织	聯合國敎科文組織
联合国敎育科学文化组织	聯合國敎育科學文化組織
联合国教科文组织	聯合國敎科文組織
联合国气候变化框架公约	聯合國氣候變化框架公約
联合国海洋法公约	聯合國海洋法公約
联合国环境规划署	聯合國環境規劃署
联合国难民事务高级专员办事处	聯合國難民事務高級專員辦事處
联合核事故协调中心	聯合核事故協調中心
联合船舶设计发展中心	聯合船舶設計發展中心
聪明一世糊涂一时	聰明一世糊塗一時
肃北蒙古族自治县	肅北蒙古族自治縣
肉毒梭状芽孢杆菌	肉毒梭狀芽孢桿菌
肐膊只折在袖子里	肐膊只折在袖子裏
肐膊折了往袖子里藏	肐膊折了往袖子裏藏
肚里说不出来的苦	肚裏說不出來的苦
自动资料处理系统	自動資料處理系統
致理商业专科学校	致理商業專科學校
船不漏针漏针没外人	船不漏針漏針沒外人
船载的金银填不满烟花债	船載的金銀填不滿煙花債
良田万顷不如薄艺随身	良田萬頃不如薄藝隨身
良药苦口忠言逆耳	良藥苦口忠言逆耳
花无百日开人无千日好	花無百日開人無千日好
苏维埃社会主义共和国联盟	蘇維埃社會主義共和國聯盟
苏维埃社会主义共和国联邦	蘇維埃社會主義共和國聯邦
苏黎世联邦理工学院	蘇黎世聯邦理工學院
苦海无边回头是岸	苦海無邊回頭是岸
范德格拉夫起电机	範德格拉夫起電機
药医不死病佛度有缘人	藥醫不死病佛度有緣人
莫三比克人民共和国	莫三比克人民共和國
莫信直中直须防人不仁	莫信直中直須防人不仁
莫蹪于山而蹪于垤	莫蹪於山而蹪於垤
莫霍洛维奇不连续面	莫霍洛維奇不連續面
菲利克斯．米达麦亚	菲利克斯．米達麥亞
葫芦里卖的甚么药	葫蘆裏賣的甚麼藥
蒙一饭之恩尚杀身以报	蒙一飯之恩尚殺身以報
虚心使人进步骄傲使人落后	虛心使人進步驕傲使人落後
虾蟆跳在戥盘子里	蝦蟆跳在戥盤子裏
蚊子遭扇打只为嘴伤人	蚊子遭扇打只爲嘴傷人
蜂巢式行动电话系统	蜂巢式行動電話系統
蝨多了不咬债多了不愁	蝨多了不咬債多了不愁
螳螂捕蝉黄雀在后	螳螂捕蟬黃雀在後
蠹众而木折隙大而墙坏	蠹眾而木折隙大而牆壞
行万里路胜读万卷书	行萬裏路勝讀萬捲書
行万里路读万卷书	行萬里路讀萬卷書
行千里路读万卷书	行千裏路讀萬卷書
行政院研究发展考核委员会	行政院研究發展考核委員會
行百里者半于九十	行百里者半於九十
裘馨氏肌肉萎缩症	裘馨氏肌肉萎縮症
西藏百万农奴解放纪念日	西藏百萬農奴解放紀念日
要怎么收获先怎么栽	要怎麼收穫先怎麼栽
见之不取思之千里	見之不取思之千里
见物不取失之千里	見物不取失之千里
见钟不打更去炼铜	見鐘不打更去煉銅
说是一回事做又是另外一回事	說是一回事做又是另外一回事
说是一回事而做又是另外一回事	說是一回事而做又是另外一回事
读万卷书行万里路	讀萬卷書行萬里路
谁笑到最后谁笑得最好	誰笑到最後誰笑得最好
谁笑在最后谁笑得最好	誰笑在最後誰笑得最好
谷贵饿农谷贱伤农	穀貴餓農穀賤傷農
资讯通讯整合系统	資訊通訊整合系統
赤道几內亚共和国	赤道幾內亞共和國
走了和尚走不了庙	走了和尚走不了廟
跑了和尚跑不了寺	跑了和尚跑不了寺
跑了和尚跑不了庙	跑了和尚跑不了廟
跑得了和尚跑不了庙	跑得了和尚跑不了廟
路见不平也有向灯向火	路見不平也有向燈向火
踏小板凳儿糊险道神	踏小板凳兒糊險道神
躲一棒槌挨一榔头	躲一棒槌挨一榔頭
躲了雷公遇了霹雳	躲了雷公遇了霹靂
躲过了风暴又遇了雨	躲過了風暴又遇了雨
达尔罕茂明安联合旗	達爾罕茂明安聯合旗
过了这个村儿没这个店儿	過了這個村兒沒這個店兒
运用之妙在于一心	運用之妙在於一心
运筹帷幄之中决胜千里之外	運籌帷幄之中決勝千里之外
近乎同步数位阶层	近乎同步數位階層
近朱者赤近墨者黑	近朱者赤近墨者黑
远处夸称近方卖弄	遠處誇稱近方賣弄
远距图书服务系统	遠距圖書服務系統
送君千里终有一别	送君千里終有一別
送君千里终须一别	送君千里終須一別
通用汉字标准交换码	通用漢字標準交換碼
道格拉斯麦克阿瑟	道格拉斯麥克阿瑟
邮政储金转存制度	郵政儲金轉存制度
酒逢知己千锺少话不投机半句多	酒逢知己千鍾少話不投機半句多
释迦佛也恼下莲台	釋迦佛也惱下蓮臺
金乌西坠玉兔东升	金烏西墜玉兔東昇
金玉其表败絮其中	金玉其表敗絮其中
金钱不能买来幸福	金錢不能買來幸福
钟不扣不鸣鼓不打不响	鐘不扣不鳴鼓不打不響
钟在寺里声在外边	鐘在寺裏聲在外邊
钱不是万能的没钱是万万不能的	錢不是萬能的沒錢是萬萬不能的
铜山西崩洛钟东应	銅山西崩洛鐘東應
销售时点情报系统	銷售時點情報系統
镇宁布依族苗族自治县	鎮寧布依族苗族自治縣
长他人志气灭自己威风	長他人志氣滅自己威風
长江后浪催前浪一代新人换旧人	長江後浪催前浪一代新人換舊人
门背后放花子等不到晚	門背後放花子等不到晚
闭门家里坐祸从天上来	閉門家裏坐禍從天上來
阎王好见小鬼难当	閻王好見小鬼難當
阎罗王面前须没放回的鬼	閻羅王面前須沒放回的鬼
阜新蒙古族自治县	阜新蒙古族自治縣
防人之口甚于防川	防人之口甚於防川
防民之口甚于防川	防民之口甚於防川
阴离子界面活性剂	陰離子界面活性劑
阿克塞哈萨克族自治县	阿克塞哈薩克族自治縣
阿尔汉格尔斯克州	阿爾漢格爾斯克州
阿拉伯联合大公国	阿拉伯聯合大公國
阿拉伯联合酋长国	阿拉伯聯合酋長國
阿里巴巴与四十大盗	阿里巴巴與四十大盜
青出于蓝而胜于蓝	青出於藍而勝於藍
非对称式数据用户线	非對稱式數據用戶綫
靡不有初鲜克有终	靡不有初鮮克有終
面心立方最密堆积	面心立方最密堆積
鞠躬尽瘁死而后已	鞠躬盡瘁死而後已
项庄舞剑志在沛公	項莊舞劍志在沛公
顺德者吉逆天者凶	順德者吉逆天者凶
风在那里起雨在那里落	風在那裏起雨在那裏落
风险与收益的关系	風險與收益的關係
食品药品监督管理局	食品藥品監督管理局
食物及药品管理局	食物及藥品管理局
饥不可食寒不可衣	飢不可食寒不可衣
饭后百步走活到九十九	飯後百步走活到九十九
饭饱生馀事饥寒腹自安	飯飽生餘事飢寒腹自安
马来亚玻里尼西亚语系	馬來亞玻里尼西亞語系
骨头里挣出来的钱才做得肉	骨頭裏掙出來的錢纔做得肉
高雄科学技术学院	高雄科學技術學院
鲋鱼困涸辙难待西江水	鮒魚困涸轍難待西江水
鳖了一肚子的闷气	鱉了一肚子的悶氣
鹬蚌相争渔人获利	鷸蚌相爭漁人獲利
麻雀虽小五脏俱全	麻雀雖小五臟俱全
麾之即去招则须来	麾之即去招則須來
黄钟毁弃瓦釜雷鸣	黃鐘譭棄瓦釜雷鳴
黄鹰抓住了鹞子的脚	黃鷹抓住了鷂子的腳
黑头虫儿不可救救之就要吃人肉	黑頭蟲兒不可救救之就要吃人肉
黔南布依族苗族自治州	黔南布依族苗族自治州
黔西南布依族苗族自治州	黔西南布依族苗族自治州
鼓不打不响钟不撞不鸣	鼓不打不響鐘不撞不鳴
龙斗虎伤苦了小獐	龍鬥虎傷苦了小獐
