一个不小心	一個不小心
普拉斯尼克	普拉斯尼克
普朗克常数	普朗克常數
普里什蒂纳	普裏什蒂納
普里斯特莱	普里斯特萊
普里斯蒂纳	普里斯蒂納
普里霍吉可	普里霍吉可
晶体三极体	晶體三極體
晶体三极管	晶體三極管
晶体二极体	晶體二極體
晶体二极管	晶體二極管
暂染发慕丝	暫染髮慕絲
暴君焚城录	暴君焚城錄
曼尼托巴省	曼尼托巴省
最后的审判	最後的審判
最后的晚餐	最後的晚餐
月经规则术	月經規則術
有事之无范	有事之無範
有助于记忆	有助於記憶
有发头陀寺	有髮頭陀寺
有子万事足	有子萬事足
有机化合物	有機化合物
有苦说不出	有苦說不出
朝鲜劳动党	朝鮮勞動黨
未开发国家	未開發國家
本期发生额	本期發生額
札什伦布寺	札什倫布寺
术业有专攻	術業有專攻
朱丝栏抄本	朱絲欄抄本
朱理安历史	朱理安歷史
朴茨茅斯队	朴茨茅斯隊
权利请愿书	權利請願書
李卜克內西	李卜克內西
李卜克内西	李卜克內西
李布瑞斯库	李布瑞斯庫
杜布林斯基	杜布林斯基
来回来去地	來回來去地
杨凌示范区	楊淩示範區
杯酒释兵权	杯酒釋兵權
杰克尼克逊	傑克尼克遜
杰克盖伦海	傑克蓋倫海
杰克葛伦霍	傑克葛倫霍
杰弗里乔叟	傑弗里喬叟
杰森史塔森	傑森史塔森
杰米福克斯	傑米福克斯
杰西詹姆斯	傑西詹姆斯
松了一口气	鬆了一口氣
松柏长青茶	松柏長青茶
松花江平原	松花江平原
松赞干布陵	松贊干布陵
板板六十四	板板六十四
极低频辐射	極低頻輻射
枕状玄武岩	枕狀玄武岩
林克平大学	林克平大學
林德布拉德	林德布拉德
枪打出头鸟	槍打出頭鳥
柏纳马修兹	柏納馬修茲
柏罗米修斯	柏羅米修斯
柯尔克孜族	柯爾克孜族
柯尔克孜语	柯爾克孜語
柴油发动机	柴油發動機
标准细分表	標準細分表
核出口控制	核出口控制
核爆炸烟云	核爆炸煙雲
核电磁脉冲	核電磁脈衝
核能发电厂	核能發電廠
核融合发电	核融合發電
格列佛游记	格列佛遊記
格列高利历	格列高利曆
格勒诺布尔	格勒諾布爾
格里姆斯塔	格里姆斯塔
格里高利历	格里高利曆
桑托里尼岛	桑托里尼島
梅尼尔氏症	梅尼爾氏症
梅德韦杰夫	梅德韋傑夫
梅西叶星表	梅西葉星表
梅西耶星表	梅西耶星表
梦工厂动画	夢工廠動畫
梦有五不占	夢有五不占
梯恩梯当量	梯恩梯當量
棒下出孝子	棒下出孝子
棒头出孝子	棒頭出孝子
森林游乐区	森林遊樂區
森林生态系	森林生態系
棺材里伸手	棺材裏伸手
槭叶止血草	槭葉止血草
模范大音阶	模範大音階
模范棒棒堂	模範棒棒堂
横打鼻梁儿	橫打鼻梁兒
欧式几何学	歐式幾何學
欧氏几何学	歐氏幾何學
欧洲共同体	歐洲共同體
欧洲火药库	歐洲火藥庫
欧罗巴人种	歐羅巴人種
欧里庇得斯	歐里庇得斯
欲穷千里目	欲窮千里目
欲速则不达	欲速則不達
欲速而不达	欲速而不達
正义发展党	正義發展黨
武梁祠画像	武梁祠畫像
殊域周咨录	殊域周咨錄
残春雾雨余	殘春霧雨餘
每端口价格	每端口價格
比例代表制	比例代表制
毛厕里砖儿	毛廁裏磚兒
毛司里砖儿	毛司裏磚兒
毛坑没后壁	毛坑沒後壁
毛里塔尼亚	毛里塔尼亞
民主进步党	民主進步黨
民主集中制	民主集中制
气管切开术	氣管切開術
气管插管术	氣管插管術
氢净合成油	氫淨合成油
水上摩托车	水上摩托車
水力发电站	水力發電站
水底写字板	水底寫字板
水来汤里去	水來湯裏去
水磨腔曲子	水磨腔曲子
水轮发动机	水輪發動機
永丰舰事件	永豐艦事件
汉书艺文志	漢書藝文志
汉城特别市	漢城特別市
汉满蒙回藏	漢滿蒙回藏
汗腾格里山	汗騰格里山
汗腾格里峰	汗騰格里峰
江村销夏录	江村銷夏錄
污水处理厂	汙水處理廠
汤姆历险记	湯姆歷險記
汽轮发电机	汽輪發電機
沙依巴克区	沙依巴克區
沙漠生态系	沙漠生態系
没个好结果	沒個好結果
没地里巡检	沒地裏巡檢
没当家花花	沒當家花花
没讨个空处	沒討個空處
油电混合车	油電混合車
法兰克欧兹	法蘭克歐茲
法制办公室	法制辦公室
法国共产党	法國共產黨
法定准备率	法定準備率
波勒瓦裘克	波勒瓦裘克
波多马克河	波多馬克河
波尔卡舞曲	波爾卡舞曲
波尔干地区	波爾干地區
波托马克河	波托馬克河
波里尼西亚	波里尼西亞
波雷罗舞曲	波雷羅舞曲
泰坦尼克号	泰坦尼克號
泰特美术馆	泰特美術館
洗钱防制法	洗錢防制法
洛可可美术	洛可可美術
洛皮塔瀑布	洛皮塔瀑布
洪都百炼生	洪都百鍊生
流体冶金术	流體冶金術
测地线曲率	測地綫曲率
浙江天台县	浙江天台縣
海水淡化厂	海水淡化廠
海洋生态系	海洋生態系
海淀图书城	海淀圖書城
消费合作社	消費合作社
涨跌幅限制	漲跌幅限制
液压千斤顶	液壓千斤頂
淀粉类作物	澱粉類作物
淡水生态系	淡水生態系
深山何处钟	深山何處鐘
深山出俊鸟	深山出俊鳥
混合动力车	混合動力車
混合失语症	混合失語症
清水下杂面	清水下雜麵
游僧攒住持	游僧攢住持
游民收容所	遊民收容所
游游磨磨儿	遊遊磨磨兒
湿肉伴干柴	溼肉伴乾柴
滚石合唱团	滾石合唱團
漏斗状花冠	漏斗狀花冠
潜意识历程	潛意識歷程
澎湖天后宫	澎湖天后宮
澳新军团日	澳新軍團日
激光二极管	激光二極管
瀍河回族区	瀍河回族區
火力发电厂	火力發電廠
火药味甚浓	火藥味甚濃
灯台不自照	燈臺不自照
炭水化合物	炭水化合物
炼丹八卦炉	煉丹八卦爐
炽热火山云	熾熱火山雲
烟酒公卖局	菸酒公賣局
烤胡椒香肠	烤胡椒香腸
燃料处理厂	燃料處理廠
燕云十六州	燕雲十六州
爬虫类动物	爬蟲類動物
爱克斯射线	愛克斯射綫
爱心刮刮乐	愛心刮刮樂
片面最惠国	片面最惠國
牙买加胡椒	牙買加胡椒
牛骥同一皁	牛驥同一皁
牵引发电机	牽引發電機
特别任务连	特別任務連
特别公积金	特別公積金
特别扣除额	特別扣除額
特别提款权	特別提款權
特别行政区	特別行政區
特征多项式	特徵多項式
特种空勤团	特種空勤團
狮身人面像	獅身人面像
猢狲入布袋	猢猻入布袋
猪链球菌病	豬鏈球菌病
玄武质熔岩	玄武質熔岩
现金流量表	現金流量表
珊卓布拉克	珊卓布拉克
珍娜杰克森	珍娜傑克森
班克拉夫特	班克拉夫特
班艾伏列克	班艾伏列克
班艾佛列克	班艾佛列克
球后辛吉丝	球后辛吉絲
球面几何学	球面幾何學
琅邪台刻石	琅邪臺刻石
琴斯托霍瓦	琴斯托霍瓦
瓦尔达克省	瓦爾達克省
生产合作社	生產合作社
生命共同体	生命共同體
生态环境游	生態環境游
生旦淨末丑	生旦淨末丑
田园交响曲	田園交響曲
甲种国库券	甲種國庫券
甲种维生素	甲種維生素
电子布告栏	電子布告欄
电影分级制	電影分級制
电影回顾展	電影回顧展
电脑系统业	電腦系統業
电视兴奋症	電視興奮症
电视游乐器	電視遊樂器
电话答录机	電話答錄機
男修道院长	男修道院長
留美同学会	留美同學會
疑心生暗鬼	疑心生暗鬼
疾风扫秋叶	疾風掃秋葉
登革出血热	登革出血熱
白面僧面猴	白面僧面猴
百万分之一	百萬分之一
百分之一千	百分之一千
皇家马德里	皇家馬德里
皮划艇静水	皮劃艇靜水
益州名画录	益州名畫錄
盐打怎么咸	鹽打怎麼鹹
盒式录音带	盒式錄音帶
目短于自见	目短於自見
直流发电机	直流發電機
直落布兰雅	直落布蘭雅
真后生动物	真後生動物
真草千字文	真草千字文
眼球干燥症	眼球乾燥症
石英卤素灯	石英鹵素燈
研发替代役	研發替代役
碳氢化合物	碳氫化合物
碳水化合物	碳水化合物
碳的化合物	碳的化合物
磨石粗砂岩	磨石粗砂岩
社交恐惧症	社交恐懼症
社会民主党	社會民主黨
祖国光复会	祖國光復會
神经纤维瘤	神經纖維瘤
票据交易所	票據交易所
福克兰羣岛	福克蘭羣島
福克兰群岛	福克蘭羣島
离婚同意书	離婚同意書
离弦走板儿	離弦走板兒
禾谷类作物	禾穀類作物
私有财产制	私有財產制
秋阴入井干	秋陰入井幹
秋风扫落叶	秋風掃落葉
种族主义者	種族主義者
种近乎幻想	種近乎幻想
科布多盆地	科布多盆地
科技示范户	科技示範戶
税捐稽征处	稅捐稽徵處
稳坐钓鱼台	穩坐釣魚臺
穆斯坦西里	穆斯坦西里
穆罕默德历	穆罕默德曆
穗帏飘井干	繐幃飄井幹
空中管制站	空中管制站
空前绝后后	空前絕后後
空梁落燕泥	空梁落燕泥
空气缓冲间	空氣緩衝間
窝阔台汗国	窩闊臺汗國
窨子里秋月	窨子裏秋月
立体身历声	立體身歷聲
立宪民主党	立憲民主黨
立联合医院	立聯合醫院
竞争和聚合	競爭和聚合
笑代表拒绝	笑代表拒絕
笔划检字表	筆劃檢字表
第一个层次	第一個層次
第一准备金	第一準備金
等周不等式	等周不等式
简易包扎法	簡易包紮法
算术平均数	算術平均數
管城回族区	管城回族區
篮下三秒钟	籃下三秒鐘
米德尔伯里	米德爾伯裏
米雅托维奇	米雅托維奇
类别的团体	類別的團體
粉团儿似的	粉團兒似的
精神分裂症	精神分裂症
精神官能症	精神官能症
糊涂油蒙心	糊塗油蒙心
糖堆里养的	糖堆裏養的
糙面内质网	糙面內質網
糟齿类爬虫	糟齒類爬蟲
系列放大器	系列放大器
系列电视剧	系列電視劇
系统抽样法	系統抽樣法
系统流程图	系統流程圖
索福克勒斯	索福克勒斯
索福克里斯	索福克裏斯
红叶少棒队	紅葉少棒隊
红色娘子军	紅色娘子軍
纤维囊泡症	纖維囊泡症
纤维蛋白原	纖維蛋白原
约翰麦克连	約翰麥克連
纪录创造者	紀錄創造者
纳克希班迪	納克希班迪
纳波里塔诺	納波里塔諾
组立式建筑	組立式建築
维几尼亚州	維幾尼亞州
维尔布鲁根	維爾布魯根
维科扬斯克	維科揚斯克
维苏威火山	維蘇威火山
综合所得税	綜合所得稅
综合扩大机	綜合擴大機
网路六合彩	網路六合彩
网路印表机	網路印表機
网路链接层	網路鏈接層
罗德里奎兹	羅德里奎茲
罗德里格兹	羅德里格茲
罗德里格斯	羅德里格斯
罗德里盖兹	羅德里蓋茲
羊膜穿刺术	羊膜穿刺術
美国参议院	美國參議院
老人失智症	老人失智症
老人癡呆症	老人癡呆症
老和尚撞钟	老和尚撞鐘
老年痴呆症	老年癡呆症
老年癡呆症	老年癡呆症
老蚌出明珠	老蚌出明珠
耍得团团转	耍得團團轉
耶稣升天节	耶穌升天節
职业代表制	職業代表制
职业倦怠症	職業倦怠症
联合古大陆	聯合古大陸
联合国大会	聯合國大會
联合国宪章	聯合國憲章
联合国粮农	聯合國糧農
联合收割机	聯合收割機
联合收获机	聯合收穫機
联合通讯社	聯合通訊社
肌肉松弛剂	肌肉鬆弛劑
肌肉萎缩症	肌肉萎縮症
肚子里点灯	肚子裏點燈
肚里的蛔虫	肚裏的蛔蟲
肯定并例句	肯定並例句
肿瘤切除术	腫瘤切除術
胃酸过多症	胃酸過多症
胡克斯特拉	胡克斯特拉
胡桃钳组曲	胡桃鉗組曲
胡笳十八拍	胡笳十八拍
胡适纪念馆	胡適紀念館
胡马依北风	胡馬依北風
胸廓切开术	胸廓切開術
能说不能干	能說不能幹
脉冲电磁场	脈衝電磁場
脑力激荡术	腦力激盪術
脑力激荡法	腦力激盪法
脑成像技术	腦成像技術
腊之以为饵	腊之以爲餌
腕道症候羣	腕道症候羣
腾格里沙漠	騰格裏沙漠
臀位取胎术	臀位取胎術
自动化技术	自動化技術
自动柜员机	自動櫃員機
自由民主党	自由民主黨
致死性毒剂	致死性毒劑
船边交货价	船邊交貨價
色彩三要素	色彩三要素
艾克森美孚	艾克森美孚
艾克雷史东	艾克雷史東
艾斯托利尔	艾斯托利爾
节奏布鲁斯	節奏布魯斯
芥子纳须弥	芥子納須彌
花岗岩质层	花崗岩質層
苍蝇掐了头	蒼蠅掐了頭
苏丹共和国	蘇丹共和國
苏丹达佛区	蘇丹達佛區
苏伊士运河	蘇伊士運河
苏俄在中国	蘇俄在中國
苏富比公司	蘇富比公司
苏尼特右旗	蘇尼特右旗
苏尼特左旗	蘇尼特左旗
苏彝士运河	蘇彝士運河
苏必利尔湖	蘇必利爾湖
苏拉威西岛	蘇拉威西島
苏珊莎兰登	蘇珊莎蘭登
苏维埃俄国	蘇維埃俄國
苏联之友社	蘇聯之友社
苏联共产党	蘇聯共產黨
苏菲亚罗兰	蘇菲亞羅蘭
苏门答腊岛	蘇門答臘島
苏门答腊省	蘇門答臘省
苏门达腊岛	蘇門達臘島
苛政猛于虎	苛政猛於虎
苜蓿长栏干	苜蓿長欄干
英联合王国	英聯合王國
英雄交响曲	英雄交響曲
苹果子姜尼	蘋果子姜尼
范德格拉夫	範德格拉夫
范德瓦耳斯	範德瓦耳斯
茑萝施乔松	蔦蘿施喬松
茨万吉拉伊	茨萬吉拉伊
荤油蒙了心	葷油蒙了心
莎玛海耶克	莎瑪海耶克
莫乃耳合金	莫乃耳合金
菲茨杰拉德	菲茨傑拉德
萨克洛夫奖	薩克洛夫獎
萨尔布吕肯	薩爾布呂肯
落个直过儿	落個直過兒
落叶归根家	落葉歸根家
葛兰素史克	葛蘭素史克
葛罗托斯基	葛羅托斯基
蒂森克虏伯	蒂森克虜伯
蒋总统秘录	蔣總統秘錄
蒙兀儿帝国	蒙兀兒帝國
蒙太奇电影	蒙太奇電影
蒙得维的亚	蒙得維的亞
蒙特內哥罗	蒙特內哥羅
蒙特卡洛法	矇特卡洛法
蒙特塞拉特	蒙特塞拉特
蒙藏委员会	蒙藏委員會
蔷薇十字团	薔薇十字團
薰莸不同器	薰蕕不同器
虎山艺术馆	虎山藝術館
蛇绿混杂岩	蛇綠混雜岩
蛟龙得云雨	蛟龍得雲雨
螺旋千斤顶	螺旋千斤頂
蟠尾丝虫症	蟠尾絲蟲症
蟹黄鲍鱼面	蟹黃鮑魚麵
蠹啄剖梁柱	蠹啄剖梁柱
血液恐怖症	血液恐怖症
血脂升高症	血脂升高症
行为艺术者	行爲藝術者
行政区划图	行政區劃圖
行星状星云	行星狀星雲
行行出状元	行行出狀元
表意符阶段	表意符階段
表格化公文	表格化公文
表皮剥脱素	表皮剝脫素
表达失语症	表達失語症
表面活化剂	表面活化劑
表面活性剂	表面活性劑
被害妄想症	被害妄想症
被窝里放屁	被窩裏放屁
裂变同位素	裂變同位素
裂谷热病毒	裂谷熱病毒
裴航遇云英	裴航遇雲英
西尼克学派	西尼克學派
西王母娘娘	西王母娘娘
西里尔字母	西裏爾字母
见面三分情	見面三分情
规范化管理	規範化管理
规范性文件	規範性文件
视空间系统	視空間系統
角膜移植术	角膜移植術
解析几何学	解析幾何學
言语失常症	言語失常症
言隐于荣华	言隱於榮華
詹姆士布朗	詹姆士布朗
詹姆斯布朗	詹姆斯布朗
计算机制图	計算機制圖
证卷交易所	證卷交易所
词汇判断法	詞彙判斷法
话又说回来	話又說回來
语音失语症	語音失語症
语音数据机	語音數據機
说不出话来	說不出話來
说单生万岁	說單生萬歲
说文解字注	說文解字註
说话不当话	說話不當話
调制解调器	調制解調器
谱系分类法	譜系分類法
败血性休克	敗血性休克
败血脓毒症	敗血膿毒症
贪杯惜醉人	貪杯惜醉人
费尔法克斯	費爾法克斯
费茨派垂克	費茨派垂克
资产负债表	資產負債表
资料链结层	資料鏈結層
赖索托王国	賴索托王國
赤道几內亚	赤道幾內亞
赤道几内亚	赤道幾內亞
赫克迈泰尔	赫克邁泰爾
赫拉克利特	赫拉克利特
赫里斯登科	赫里斯登科
赫麦汉士台	赫麥漢士臺
走了大褶儿	走了大褶兒
赶前不赶后	趕前不趕後
超友谊关系	超友誼關係
超大曲道赛	超大曲道賽
超完美告别	超完美告別
超新星剩余	超新星剩餘
超计划利润	超計劃利潤
越南共产党	越南共產黨
越活越回去	越活越回去
跨媒体合作	跨媒體合作
躁狂抑郁症	躁狂抑鬱症
身份识别卡	身份識別卡
车到没恶路	車到沒惡路
输入许可制	輸入許可制
达沃斯论坛	達沃斯論壇
过敏性休克	過敏性休克
过滤嘴香烟	過濾嘴香菸
进一步规范	進一步規範
进口加签权	進口加簽權
进步伙伴展	進步夥伴展
迟发性损伤	遲發性損傷
迪拉萨布里	迪拉薩布里
退伍军人症	退伍軍人症
逆转录病毒	逆轉錄病毒
选校不选系	選校不選系
选民参加率	選民參加率
选系不选校	選系不選校
造血干细胞	造血幹細胞
遗体告别式	遺體告別式
郇山隐修会	郇山隱修會
鄂托克前旗	鄂托克前旗
鄂霍次克海	鄂霍次克海
配位化合物	配位化合物
酒后吐真言	酒後吐真言
酒病酒药医	酒病酒藥醫
里外不是人	裏外不是人
里奥格兰德	里奧格蘭德
里希特霍芬	里希特霍芬
里特维宁科	里特維寧科
里约热內卢	里約熱內盧
里约热内卢	里約熱內盧
金钱非万能	金錢非萬能
鉴定委员会	鑑定委員會
针孔摄影机	針孔攝影機
针孔照像机	針孔照像機
钓鱼台列岛	釣魚臺列島
钟不扣不鸣	鐘不扣不鳴
钟不撞不鸣	鐘不撞不鳴
钟不敲不响	鐘不敲不響
钟不空则哑	鐘不空則啞
钟表的历史	鐘錶的歷史
钩花点叶派	鉤花點葉派
钱眼里安身	錢眼裏安身
钻井平台数	鑽井平臺數
铁杵磨成针	鐵杵磨成針
铜斗儿家缘	銅斗兒家緣
银本位制度	銀本位制度
银样蜡鎗头	銀樣蠟鎗頭
银色冲浪手	銀色衝浪手
铺面临街房	鋪面臨街房
错误的结合	錯誤的結合
镭射印表机	鐳射印表機
门缝里看人	門縫裏看人
门面铺席人	門面鋪席人
问卷大调査	問卷大調査
问卷调査表	問卷調査表
闷着头儿干	悶着頭兒幹
闹了半天鬼	鬧了半天鬼
阑尾切除术	闌尾切除術
防患于未然	防患於未然
防空识别区	防空識別區
阴极射线管	陰極射綫管
阴沟里翻船	陰溝裏翻船
阿克苏地区	阿克蘇地區
阿兹海默症	阿茲海默症
阿列克西斯	阿列克西斯
阿尔发粒子	阿爾發粒子
阿尔梅里亚	阿爾梅里亞
阿布扎比市	阿布扎比市
阿布杜拉曼	阿布杜拉曼
阿布沙伊夫	阿布沙伊夫
阿布沙耶夫	阿布沙耶夫
阿布贾里布	阿布賈里布
阿弥陀如来	阿彌陀如來
阿拉干山脉	阿拉乾山脈
阿曼苏丹国	阿曼蘇丹國
阿柏克兹亚	阿柏克茲亞
阿波罗计划	阿波羅計劃
阿滋海默症	阿滋海默症
阿米巴原虫	阿米巴原蟲
阿米纳达布	阿米納達布
阿耳忒弥斯	阿耳忒彌斯
阿芝特克人	阿芝特剋人
阿芝特克语	阿芝特剋語
阿赫蒂萨里	阿赫蒂薩裏
阿里山之歌	阿里山之歌
阿里山山脉	阿里山山脈
阿里斯托芬	阿里斯托芬
阿里斯托芳	阿里斯託芳
限制酶图谱	限制酶圖譜
隔山观虎斗	隔山觀虎鬥
隔年的皇历	隔年的皇曆
雅鲁藏布江	雅魯藏布江
集会游行法	集會遊行法
雌雄同体人	雌雄同體人
雪狮子向火	雪獅子向火
雷克坦跑道	雷克坦跑道
雷克斯暴龙	雷克斯暴龍
雷克雅维克	雷克雅維克
雷夫范恩斯	雷夫范恩斯
雷射印表机	雷射印表機
雷德克里夫	雷德克里夫
雷昂卡发洛	雷昂卡發洛
雷神进行曲	雷神進行曲
雷贾帕克斯	雷賈帕克斯
霍尔布鲁克	霍爾布魯克
霓裳羽衣曲	霓裳羽衣曲
青年救国团	青年救國團
青果合作社	青果合作社
靖康传信录	靖康傳信錄
静脉血栓症	靜脈血栓症
非形象艺术	非形象藝術
非欧几何学	非歐幾何學
非洲出血热	非洲出血熱
非洲大裂谷	非洲大裂谷
非洲锥虫病	非洲錐蟲病
非营业支出	非營業支出
非贸易创汇	非貿易創匯
面子上的人	面子上的人
面子上的话	面子上的話
面色如金纸	面色如金紙
革命积极性	革命積極性
顺河回族区	順河回族區
顽童历险记	頑童歷險記
顾前不顾后	顧前不顧後
颅盖內出血	顱蓋內出血
额我略历史	額我略歷史
额贺福志郎	額賀福志郎
风云人物奖	風雲人物獎
风吹两面倒	風吹兩面倒
飞出个未来	飛出個未來
飞行记录仪	飛行記錄儀
飞行记录器	飛行記錄器
食用蜡烛木	食用蠟燭木
饥者易为食	飢者易爲食
饥者甘糟糠	飢者甘糟糠
饭店里买葱	飯店裏買蔥
饭饱生余事	飯飽生餘事
饱和化合物	飽和化合物
饱当知人饥	飽當知人飢
饱暖思淫欲	飽暖思淫慾
饱暖生淫欲	飽暖生淫慾
馀粮收集制	餘糧收集制
首尔特别市	首爾特別市
香格里拉县	香格裏拉縣
香榭里大道	香榭里大道
马丁杜里荷	馬丁杜里荷
马克安东尼	馬克安東尼
马克思主义	馬克思主義
马克斯主义	馬克斯主義
马克斯威尔	馬克斯威爾
马克沁机枪	馬克沁機槍
马克西米连	馬克西米連
马厝卡舞曲	馬厝卡舞曲
马太受难曲	馬太受難曲
马戏团表演	馬戲團表演
马托格罗索	馬託格羅索
马拉松赛跑	馬拉松賽跑
马死黄金尽	馬死黃金盡
马赛进行曲	馬賽進行曲
马里内斯科	馬里內斯科
骨质疏松症	骨質疏鬆症
骨质石化症	骨質石化症
骨质软化症	骨質軟化症
高处不胜寒	高處不勝寒
高致病性禽	高致病性禽
鬼门上占卦	鬼門上占卦
鲁毕克方块	魯畢克方塊
鸡犬识新丰	雞犬識新豐
鹰嘴豆面粉	鷹嘴豆麵粉
麦克格雷格	麥克格雷格
麦克白夫人	麥克白夫人
麦克雷兰说	麥克雷蘭說
麦可杰克森	麥可傑克森
麦哲伦星云	麥哲倫星雲
麦当劳叔叔	麥當勞叔叔
麦考马克说	麥考馬克說
麻姑仙坛记	麻姑仙壇記
黄曲霉毒素	黃曲黴毒素
黄河大合唱	黃河大合唱
黄石大峡谷	黃石大峽谷
黄菓树瀑布	黃菓樹瀑布
黎曼几何学	黎曼幾何學
黑奴吁天录	黑奴籲天錄
黑色棘皮症	黑色棘皮症
齿条千斤顶	齒條千斤頂
